bus real appr
 1.00000000e+00 9.89296708e-01 9.90078123e-01
 2.00000000e+00 9.81630147e-01 9.82992229e-01
 3.00000000e+00 9.76561367e-01 9.78309724e-01
 4.00000000e+00 9.69229417e-01 9.71548233e-01
 5.00000000e+00 9.63199668e-01 9.66057265e-01
 6.00000000e+00 9.60247687e-01 9.63371474e-01
 7.00000000e+00 9.58440160e-01 9.61728172e-01
 8.00000000e+00 9.58362324e-01 9.61655230e-01
 9.00000000e+00 9.58323406e-01 9.61618761e-01
 1.00000000e+01 9.53486541e-01 9.57228044e-01
 1.10000000e+01 9.43125641e-01 9.47823319e-01
 1.20000000e+01 9.41736246e-01 9.46516265e-01
 1.30000000e+01 9.40865837e-01 9.45697535e-01
 1.40000000e+01 9.39329542e-01 9.44252489e-01
 1.50000000e+01 9.37924472e-01 9.42929802e-01
 1.60000000e+01 9.37571736e-01 9.42599445e-01
 1.70000000e+01 9.39356730e-01 9.44409044e-01
 1.80000000e+01 9.37513443e-01 9.42739766e-01
 1.90000000e+01 9.36347404e-01 9.41683841e-01
 2.00000000e+01 9.35650636e-01 9.41055770e-01
 2.10000000e+01 9.35505478e-01 9.40924958e-01
 2.20000000e+01 9.35440236e-01 9.40866098e-01
 2.30000000e+01 9.34953840e-01 9.40427993e-01
 2.40000000e+01 9.34540153e-01 9.40055391e-01
 2.50000000e+01 9.34431295e-01 9.39957355e-01
 2.60000000e+01 9.34395009e-01 9.39924678e-01
 2.70000000e+01 9.35024570e-01 9.40493373e-01
 2.80000000e+01 9.34239988e-01 9.39787443e-01
 2.90000000e+01 9.33920354e-01 9.39499949e-01
 3.00000000e+01 9.33724220e-01 9.39323564e-01
 3.10000000e+01 9.33593465e-01 9.39205986e-01
 3.20000000e+01 9.33506295e-01 9.39127607e-01
 3.30000000e+01 9.38560618e-01 9.43688102e-01
 3.40000000e+01 9.38322021e-01 9.43471894e-01
 3.50000000e+01 9.38003882e-01 9.43183671e-01
 3.60000000e+01 9.37917121e-01 9.43105075e-01
 3.70000000e+01 9.37981730e-01 9.43164021e-01
 3.80000000e+01 9.37543935e-01 9.42767821e-01
 3.90000000e+01 9.37214696e-01 9.42469928e-01
 4.00000000e+01 9.62143964e-01 9.64893062e-01
 4.10000000e+01 9.61550718e-01 9.64334875e-01
 4.20000000e+01 9.61127012e-01 9.63936299e-01
 4.30000000e+01 9.60738648e-01 9.63571032e-01
 4.40000000e+01 9.60569174e-01 9.63411671e-01
 4.50000000e+01 9.60399696e-01 9.63252328e-01
 4.60000000e+01 9.60300835e-01 9.63159385e-01
 4.70000000e+01 9.59882626e-01 9.62771408e-01
 4.80000000e+01 9.58588003e-01 9.61557130e-01
 4.90000000e+01 9.57329360e-01 9.60376634e-01
 5.00000000e+01 9.56407831e-01 9.59512185e-01
 5.10000000e+01 9.55327209e-01 9.58498281e-01
 5.20000000e+01 9.55055040e-01 9.58242679e-01
 5.30000000e+01 9.54927185e-01 9.58123647e-01
 5.40000000e+01 9.54820652e-01 9.58024320e-01
 5.50000000e+01 9.54785141e-01 9.57991213e-01
