bus appr real min max
 1.00000000e+00 9.92080845e-01 9.87646091e-01 9.83339522e-01 1.00082217e+00
 2.00000000e+00 9.92080845e-01 9.87646091e-01 9.72425691e-01 1.01173600e+00
 3.00000000e+00 9.92080845e-01 9.87646091e-01 9.67688877e-01 1.01647281e+00
 4.00000000e+00 9.92080845e-01 9.87646091e-01 9.55016546e-01 1.02914514e+00
 5.00000000e+00 9.92080845e-01 9.87646091e-01 9.47083169e-01 1.03707852e+00
 6.00000000e+00 9.92080845e-01 9.87646091e-01 9.31204242e-01 1.05295745e+00
 7.00000000e+00 9.86161688e-01 9.78406686e-01 9.70864374e-01 1.00145900e+00
 8.00000000e+00 9.82225382e-01 9.72259831e-01 9.62557406e-01 1.00189336e+00
 9.00000000e+00 9.82225382e-01 9.72259831e-01 9.48612490e-01 1.01583828e+00
 1.00000000e+01 9.82225382e-01 9.72259831e-01 9.05966158e-01 1.05848461e+00
 1.10000000e+01 9.82225382e-01 9.72259831e-01 9.05966158e-01 1.05848461e+00
 1.20000000e+01 9.82225382e-01 9.72259831e-01 9.48612490e-01 1.01583828e+00
 1.30000000e+01 9.76335857e-01 9.63059158e-01 9.50111889e-01 1.00255983e+00
 1.40000000e+01 9.82225382e-01 9.72259831e-01 9.21806967e-01 1.04264380e+00
 1.50000000e+01 9.76335857e-01 9.63059158e-01 9.34647911e-01 1.01802380e+00
 1.60000000e+01 9.76335857e-01 9.63059158e-01 9.11059910e-01 1.04161180e+00
 1.70000000e+01 9.76335857e-01 9.63059158e-01 9.12638438e-01 1.04003328e+00
 1.80000000e+01 9.76335857e-01 9.63059158e-01 9.32082911e-01 1.02058880e+00
 1.90000000e+01 9.76335857e-01 9.63059158e-01 9.16697312e-01 1.03597440e+00
 2.00000000e+01 9.76335857e-01 9.63059158e-01 8.96395774e-01 1.05627594e+00
 2.10000000e+01 9.76335857e-01 9.63059158e-01 9.25526919e-01 1.02714480e+00
 2.20000000e+01 9.76335857e-01 9.63059158e-01 8.93024692e-01 1.05964702e+00
 2.30000000e+01 9.76335857e-01 9.63059158e-01 9.20063592e-01 1.03260812e+00
 2.40000000e+01 9.76335857e-01 9.63059158e-01 8.86033862e-01 1.06663785e+00
 2.50000000e+01 9.76335857e-01 9.63059158e-01 9.14053933e-01 1.03861778e+00
 2.60000000e+01 9.76335857e-01 9.63059158e-01 9.06405276e-01 1.04626644e+00
 2.70000000e+01 9.76335857e-01 9.63059158e-01 9.00395616e-01 1.05227610e+00
 2.80000000e+01 9.76335857e-01 9.63059158e-01 9.09683272e-01 1.04298844e+00
 2.90000000e+01 9.76335857e-01 9.63059158e-01 9.03127280e-01 1.04954443e+00
 3.00000000e+01 9.76335857e-01 9.63059158e-01 8.95478622e-01 1.05719309e+00
 3.10000000e+01 9.76335857e-01 9.63059158e-01 8.92616811e-01 1.06005490e+00
 3.20000000e+01 9.76335857e-01 9.63059158e-01 8.74010014e-01 1.07866170e+00
 3.30000000e+01 9.76335857e-01 9.63059158e-01 8.69581785e-01 1.08308993e+00
 3.40000000e+01 9.76335857e-01 9.63059158e-01 9.40879525e-01 1.01179219e+00
 3.50000000e+01 9.76335857e-01 9.63059158e-01 9.23887921e-01 1.02878379e+00
 3.60000000e+01 9.76335857e-01 9.63059158e-01 9.09683272e-01 1.04298844e+00
 3.70000000e+01 9.76335857e-01 9.63059158e-01 8.91255148e-01 1.06141657e+00
 3.80000000e+01 9.76335857e-01 9.63059158e-01 8.94347126e-01 1.05832459e+00
 3.90000000e+01 9.76335857e-01 9.63059158e-01 8.74153125e-01 1.07851859e+00
 4.00000000e+01 9.76335857e-01 9.63059158e-01 9.18424595e-01 1.03424712e+00
 4.10000000e+01 9.76335857e-01 9.63059158e-01 8.98424472e-01 1.05424724e+00
 4.20000000e+01 9.76335857e-01 9.63059158e-01 9.12961268e-01 1.03971045e+00
 4.30000000e+01 9.76335857e-01 9.63059158e-01 8.82093453e-01 1.07057826e+00
 4.40000000e+01 9.76335857e-01 9.63059158e-01 9.08590607e-01 1.04408111e+00
 4.50000000e+01 9.76335857e-01 9.63059158e-01 8.96340671e-01 1.05633104e+00
 4.60000000e+01 9.76335857e-01 9.63059158e-01 8.77743127e-01 1.07492859e+00
 4.70000000e+01 9.76335857e-01 9.63059158e-01 9.03127280e-01 1.04954443e+00
 4.80000000e+01 9.76335857e-01 9.63059158e-01 8.99849284e-01 1.05282243e+00
 4.90000000e+01 9.76335857e-01 9.63059158e-01 8.97663953e-01 1.05500776e+00
 5.00000000e+01 9.76335857e-01 9.63059158e-01 8.92200627e-01 1.06047109e+00
 5.10000000e+01 9.76335857e-01 9.63059158e-01 8.86737300e-01 1.06593441e+00
 5.20000000e+01 9.68511542e-01 9.50829261e-01 9.33546252e-01 1.00347683e+00
 5.30000000e+01 9.64611772e-01 9.44730926e-01 9.25275820e-01 1.00394772e+00
 5.40000000e+01 9.62178671e-01 9.40925223e-01 9.20111056e-01 1.00424629e+00
 5.50000000e+01 9.62178671e-01 9.40925223e-01 9.14101396e-01 1.01025595e+00
 5.60000000e+01 9.62178671e-01 9.40925223e-01 9.08091737e-01 1.01626560e+00
 5.70000000e+01 9.55383640e-01 9.30293331e-01 9.05667368e-01 1.00509991e+00
 5.80000000e+01 9.55383640e-01 9.30293331e-01 8.90296966e-01 1.02047032e+00
 5.90000000e+01 9.55383640e-01 9.30293331e-01 8.74721838e-01 1.03604544e+00
 6.00000000e+01 9.40912673e-01 9.07635082e-01 8.74806421e-01 1.00701893e+00
 6.10000000e+01 9.40912673e-01 9.07635082e-01 8.62787102e-01 1.01903824e+00
 6.20000000e+01 9.40912673e-01 9.07635082e-01 8.67162620e-01 1.01466273e+00
 6.30000000e+01 9.40912673e-01 9.07635082e-01 8.61600371e-01 1.02022498e+00
 6.40000000e+01 9.40912673e-01 9.07635082e-01 8.50095434e-01 1.03172991e+00
 6.50000000e+01 9.40912673e-01 9.07635082e-01 8.35646909e-01 1.04617844e+00
 6.60000000e+01 9.40912673e-01 9.07635082e-01 8.24357556e-01 1.05746779e+00
 6.70000000e+01 9.34202723e-01 8.97122108e-01 8.60447813e-01 1.00795763e+00
 6.80000000e+01 9.34202723e-01 8.97122108e-01 8.48203908e-01 1.02020154e+00
 6.90000000e+01 9.34202723e-01 8.97122108e-01 8.31180689e-01 1.03722476e+00
 7.00000000e+01 9.34202723e-01 8.97122108e-01 8.10894646e-01 1.05751080e+00
 7.10000000e+01 9.34202723e-01 8.97122108e-01 7.93642764e-01 1.07476268e+00
 7.20000000e+01 9.34202723e-01 8.97122108e-01 8.54438153e-01 1.01396729e+00
 7.30000000e+01 9.34202723e-01 8.97122108e-01 8.37578051e-01 1.03082739e+00
