bus appr real min1 max1 min2 max2
 1.00000000e+00 9.90078123e-01 9.89296708e-01 9.81114909e-01 9.99041337e-01 9.82472750e-01 9.97683496e-01
 2.00000000e+00 9.82992229e-01 9.81630147e-01 9.67306605e-01 9.98677853e-01 9.69764564e-01 9.96219894e-01
 3.00000000e+00 9.78309724e-01 9.76561367e-01 9.58142493e-01 9.98476954e-01 9.61384953e-01 9.95234494e-01
 4.00000000e+00 9.71548233e-01 9.69229417e-01 9.44658592e-01 9.98437874e-01 9.49147860e-01 9.93948606e-01
 5.00000000e+00 9.66057265e-01 9.63199668e-01 9.30204410e-01 1.00191012e+00 9.38499413e-01 9.93615116e-01
 6.00000000e+00 9.63371474e-01 9.60247687e-01 9.23037013e-01 1.00370594e+00 9.33182054e-01 9.93560895e-01
 7.00000000e+00 9.61728172e-01 9.58440160e-01 9.18592707e-01 1.00486364e+00 9.29909968e-01 9.93546376e-01
 8.00000000e+00 9.61655230e-01 9.58362324e-01 9.12357555e-01 1.01095291e+00 9.29603547e-01 9.93706914e-01
 9.00000000e+00 9.61618761e-01 9.58323406e-01 9.06158876e-01 1.01707865e+00 9.29435524e-01 9.93801998e-01
 1.00000000e+01 9.57228044e-01 9.53486541e-01 9.06249767e-01 1.00820632e+00 9.21141151e-01 9.93314938e-01
 1.10000000e+01 9.47823319e-01 9.43125641e-01 8.80039016e-01 1.01560762e+00 9.02436567e-01 9.93210071e-01
 1.20000000e+01 9.46516265e-01 9.41736246e-01 8.71463546e-01 1.02156898e+00 9.00387000e-01 9.92645530e-01
 1.30000000e+01 9.45697535e-01 9.40865837e-01 8.65345438e-01 1.02604963e+00 8.99103208e-01 9.92291861e-01
 1.40000000e+01 9.44252489e-01 9.39329542e-01 8.52913926e-01 1.03559105e+00 8.96869928e-01 9.91635050e-01
 1.50000000e+01 9.42929802e-01 9.37924472e-01 8.37754064e-01 1.04810554e+00 8.94801872e-01 9.91057732e-01
 1.60000000e+01 9.42599445e-01 9.37571736e-01 8.26588235e-01 1.05861065e+00 8.94146676e-01 9.91052214e-01
 1.70000000e+01 9.44409044e-01 9.39356730e-01 8.68781929e-01 1.02003616e+00 8.95433600e-01 9.93384488e-01
 1.80000000e+01 9.42739766e-01 9.37513443e-01 8.60950442e-01 1.02452909e+00 8.91856911e-01 9.93622622e-01
 1.90000000e+01 9.41683841e-01 9.36347404e-01 8.55412909e-01 1.02795477e+00 8.89462233e-01 9.93905448e-01
