bus appr real min1 max1 min2 max2
 1.00000000e+00 9.84799288e-01 9.81539155e-01 9.63298463e-01 1.00630011e+00 8.99950156e-01 1.06964842e+00
 2.00000000e+00 9.73803224e-01 9.68107743e-01 9.36176780e-01 1.01142967e+00 8.26229142e-01 1.12137731e+00
 3.00000000e+00 9.66538018e-01 9.59220965e-01 9.18161163e-01 1.01491487e+00 7.77717287e-01 1.15535875e+00
 4.00000000e+00 9.55937538e-01 9.46204742e-01 8.91435064e-01 1.02044001e+00 7.06028398e-01 1.20584668e+00
 5.00000000e+00 9.45353848e-01 9.32750680e-01 8.59350550e-01 1.03135715e+00 6.37905443e-01 1.25280225e+00
 6.00000000e+00 9.40142824e-01 9.26111404e-01 8.43389113e-01 1.03689653e+00 6.03335396e-01 1.27695025e+00
 7.00000000e+00 9.36928173e-01 9.22008527e-01 8.33455455e-01 1.04040089e+00 5.81949262e-01 1.29190708e+00
 8.00000000e+00 9.36856529e-01 9.21927614e-01 8.18601994e-01 1.05511106e+00 5.79272811e-01 1.29444025e+00
 9.00000000e+00 9.36820709e-01 9.21887158e-01 8.03784356e-01 1.06985706e+00 5.77769320e-01 1.29587210e+00
 1.00000000e+01 9.28057216e-01 9.10664439e-01 8.05771276e-01 1.05034316e+00 5.25454790e-01 1.33065964e+00
 1.10000000e+01 9.09437618e-01 8.86787248e-01 7.46837632e-01 1.07203760e+00 4.03081581e-01 1.41579365e+00
 1.20000000e+01 9.08129895e-01 8.85308687e-01 7.28094540e-01 1.08816525e+00 3.93490028e-01 1.42276976e+00
 1.30000000e+01 9.07310564e-01 8.84382373e-01 7.14563142e-01 1.10005799e+00 3.87482257e-01 1.42713887e+00
 1.40000000e+01 9.05864052e-01 8.82747336e-01 6.86762457e-01 1.12496565e+00 3.77241824e-01 1.43448628e+00
 1.50000000e+01 9.04538575e-01 8.81251880e-01 6.52244568e-01 1.15683258e+00 3.67600657e-01 1.44147649e+00
 1.60000000e+01 9.04208986e-01 8.80876442e-01 6.25923009e-01 1.18249496e+00 3.63647014e-01 1.44477096e+00
 1.70000000e+01 9.01768844e-01 8.76856461e-01 7.20355636e-01 1.08318205e+00 3.55375666e-01 1.44816202e+00
 1.80000000e+01 8.96748753e-01 8.70280779e-01 7.00553728e-01 1.09294378e+00 3.29075587e-01 1.46442192e+00
 1.90000000e+01 8.93262287e-01 8.65699971e-01 6.86316850e-01 1.10020772e+00 3.10653370e-01 1.47587120e+00
 2.00000000e+01 8.92659304e-01 8.64946058e-01 6.64213042e-01 1.12110557e+00 2.94338401e-01 1.49098021e+00
 2.10000000e+01 8.92533726e-01 8.64788995e-01 6.58712258e-01 1.12635519e+00 2.90695413e-01 1.49437204e+00
 2.20000000e+01 8.92477221e-01 8.64718417e-01 6.46561538e-01 1.13839290e+00 2.89275577e-01 1.49567887e+00
 2.30000000e+01 8.92056667e-01 8.64192109e-01 6.32702969e-01 1.15141036e+00 2.78484282e-01 1.50562905e+00
 2.40000000e+01 8.91699014e-01 8.63744497e-01 6.06813087e-01 1.17658494e+00 2.68581949e-01 1.51481608e+00
 2.50000000e+01 8.91604916e-01 8.63626713e-01 5.93280973e-01 1.18992886e+00 2.64936640e-01 1.51827319e+00
 2.60000000e+01 8.91573551e-01 8.63587452e-01 5.79811593e-01 1.20333551e+00 2.63055837e-01 1.52009127e+00
 2.70000000e+01 8.83544384e-01 8.52720673e-01 6.38972503e-01 1.12811626e+00 2.76670345e-01 1.49041842e+00
 2.80000000e+01 8.77401940e-01 8.44503077e-01 6.08641632e-01 1.14616225e+00 2.56213357e-01 1.49859052e+00
 2.90000000e+01 8.73802775e-01 8.39678755e-01 5.90260649e-01 1.15734490e+00 2.45215507e-01 1.50239004e+00
 3.00000000e+01 8.70923387e-01 8.35815550e-01 5.75287048e-01 1.16655973e+00 2.37620794e-01 1.50422598e+00
 3.10000000e+01 8.68107960e-01 8.32035265e-01 5.60377407e-01 1.17583851e+00 2.31551084e-01 1.50466484e+00
 3.20000000e+01 8.64440628e-01 8.27107678e-01 5.40584456e-01 1.18829680e+00 2.25622580e-01 1.50325867e+00
 3.30000000e+01 9.01072653e-01 8.76003279e-01 7.06221429e-01 1.09592388e+00 3.45584252e-01 1.45656105e+00
 3.40000000e+01 9.00863881e-01 8.75747615e-01 6.91230841e-01 1.11049692e+00 3.40822546e-01 1.46090522e+00
 3.50000000e+01 9.00585581e-01 8.75406718e-01 6.61388906e-01 1.13978226e+00 3.33875210e-01 1.46729595e+00
 3.60000000e+01 9.00509693e-01 8.75313752e-01 6.45187400e-01 1.15583199e+00 3.31810625e-01 1.46920876e+00
 3.70000000e+01 9.00566609e-01 8.75382908e-01 6.92277370e-01 1.10885585e+00 3.40951351e-01 1.46018187e+00
 3.80000000e+01 9.00184068e-01 8.74913739e-01 6.77113012e-01 1.12325512e+00 3.37351790e-01 1.46301635e+00
 3.90000000e+01 8.99896460e-01 8.74560908e-01 6.59355984e-01 1.14043694e+00 3.35030601e-01 1.46476232e+00
 4.00000000e+01 9.49344576e-01 9.38941192e-01 8.40496651e-01 1.05819250e+00 6.37444663e-01 1.26124449e+00
 4.10000000e+01 9.48792421e-01 9.38333223e-01 8.23818878e-01 1.07376596e+00 6.26787199e-01 1.27079764e+00
 4.20000000e+01 9.48398160e-01 9.37899003e-01 8.09986601e-01 1.08680972e+00 6.18703920e-01 1.27809240e+00
 4.30000000e+01 9.48036853e-01 9.37501004e-01 7.94843477e-01 1.10123023e+00 6.11019987e-01 1.28505372e+00
 4.40000000e+01 9.47879221e-01 9.37327325e-01 7.83935433e-01 1.11182301e+00 6.06592714e-01 1.28916573e+00
 4.50000000e+01 9.47721608e-01 9.37153643e-01 7.67652202e-01 1.12779101e+00 6.01863218e-01 1.29358000e+00
 4.60000000e+01 9.47629675e-01 9.37052328e-01 7.48747047e-01 1.14651230e+00 5.98865121e-01 1.29639423e+00
 4.70000000e+01 9.47241854e-01 9.36623009e-01 8.18236906e-01 1.07624680e+00 6.16334723e-01 1.27814898e+00
 4.80000000e+01 9.46038090e-01 9.35295829e-01 8.03595126e-01 1.08848105e+00 6.02872753e-01 1.28920343e+00
 4.90000000e+01 9.44867782e-01 9.34005557e-01 7.88986803e-01 1.10074876e+00 5.90314049e-01 1.29942151e+00
 5.00000000e+01 9.44010635e-01 9.33060877e-01 7.77379244e-01 1.11064203e+00 5.81245218e-01 1.30677605e+00
 5.10000000e+01 9.43005155e-01 9.31953119e-01 7.62935748e-01 1.12307456e+00 5.71259589e-01 1.31475072e+00
 5.20000000e+01 9.42751571e-01 9.31674120e-01 7.54619356e-01 1.13088379e+00 5.69877096e-01 1.31562605e+00
 5.30000000e+01 9.42633911e-01 9.31543051e-01 7.49126490e-01 1.13614133e+00 5.65196277e-01 1.32007155e+00
 5.40000000e+01 9.42535681e-01 9.31433843e-01 7.35590244e-01 1.14948112e+00 5.61082367e-01 1.32398899e+00
 5.50000000e+01 9.42502939e-01 9.31397440e-01 7.22119486e-01 1.16288639e+00 5.58924230e-01 1.32608165e+00
