bus real approx linear dc
 1.00000000e+00 -3.11487574e-01 -3.17010142e-01 -3.14498085e-01 -4.33642569e-01
 2.00000000e+00 -3.13011379e-01 -3.18545460e-01 -3.15996828e-01 -4.36599892e-01
 3.00000000e+00 -3.22295473e-01 -3.27981899e-01 -3.25203393e-01 -4.54766310e-01
 4.00000000e+00 -3.25782665e-01 -3.31495418e-01 -3.28629092e-01 -4.61525907e-01
 5.00000000e+00 -3.30691458e-01 -3.36548276e-01 -3.33553534e-01 -4.71242828e-01
 6.00000000e+00 -3.34972642e-01 -3.40944150e-01 -3.37835657e-01 -4.79692324e-01
 7.00000000e+00 -5.35392542e-01 -5.44946390e-01 -5.37564794e-01 -7.41528801e-01
 8.00000000e+00 -6.85032801e-01 -6.97244240e-01 -6.85208692e-01 -9.45340808e-01
 9.00000000e+00 -6.94875359e-01 -7.07402270e-01 -6.94843469e-01 -9.64352175e-01
 1.00000000e+01 -7.08152229e-01 -7.21188270e-01 -7.07903945e-01 -9.90123139e-01
 1.10000000e+01 -7.10208547e-01 -7.23450055e-01 -7.10045007e-01 -9.94347887e-01
 1.20000000e+01 -6.87030876e-01 -6.99275034e-01 -6.87135647e-01 -9.49143081e-01
 1.30000000e+01 -9.01759572e-01 -9.17808539e-01 -8.97069393e-01 -1.23804955e+00
 1.40000000e+01 -7.05927362e-01 -7.18926989e-01 -7.05762884e-01 -9.85898391e-01
 1.50000000e+01 -9.11066837e-01 -9.27444056e-01 -9.06061852e-01 -1.25579349e+00
 1.60000000e+01 -9.17810884e-01 -9.34332098e-01 -9.12485037e-01 -1.26846774e+00
 1.70000000e+01 -9.14213479e-01 -9.30657902e-01 -9.09059338e-01 -1.26170814e+00
 1.80000000e+01 -1.08569221e+00 -1.10507588e+00 -1.07501708e+00 -1.48698749e+00
 1.90000000e+01 -1.09476394e+00 -1.11437953e+00 -1.08358133e+00 -1.50388648e+00
 2.00000000e+01 -1.10066509e+00 -1.12043137e+00 -1.08914809e+00 -1.51487083e+00
 2.10000000e+01 -1.10904397e+00 -1.12873765e+00 -1.09742910e+00 -1.51734247e+00
 2.20000000e+01 -1.11803229e+00 -1.13852320e+00 -1.10642155e+00 -1.53508641e+00
 2.30000000e+01 -1.12585534e+00 -1.14565484e+00 -1.11343768e+00 -1.53902460e+00
 2.40000000e+01 -1.13585415e+00 -1.15591897e+00 -1.12285835e+00 -1.55761349e+00
 2.50000000e+01 -1.14124684e+00 -1.16117394e+00 -1.12811221e+00 -1.55889989e+00
 2.60000000e+01 -1.14918092e+00 -1.16907887e+00 -1.13558288e+00 -1.56901821e+00
 2.70000000e+01 -1.15229886e+00 -1.17218517e+00 -1.13851779e+00 -1.57299327e+00
 2.80000000e+01 -1.14791302e+00 -1.16794942e+00 -1.13451564e+00 -1.56757274e+00
 2.90000000e+01 -1.15451486e+00 -1.17472702e+00 -1.14091908e+00 -1.57624559e+00
 3.00000000e+01 -1.15848329e+00 -1.17868160e+00 -1.14465441e+00 -1.58130475e+00
 3.10000000e+01 -1.15327473e+00 -1.17328362e+00 -1.13943679e+00 -1.57662276e+00
 3.20000000e+01 -1.15600488e+00 -1.17608772e+00 -1.14200607e+00 -1.58169246e+00
 3.30000000e+01 -1.16139992e+00 -1.18153342e+00 -1.14708204e+00 -1.58989226e+00
 3.40000000e+01 -9.08370522e-01 -9.24690130e-01 -9.03492578e-01 -1.25072379e+00
 3.50000000e+01 -1.13211141e+00 -1.15265132e+00 -1.11988308e+00 -1.55135631e+00
 3.60000000e+01 -1.14641073e+00 -1.16733065e+00 -1.13375719e+00 -1.57014749e+00
 3.70000000e+01 -1.15154792e+00 -1.17293752e+00 -1.13889573e+00 -1.58028688e+00
 3.80000000e+01 -1.15096036e+00 -1.17200283e+00 -1.13803931e+00 -1.57859698e+00
