bus appr real min max
 1.00000000e+00 9.92080845e-01 9.91781259e-01 9.87547116e-01 9.96614573e-01
 2.00000000e+00 9.92004269e-01 9.91703896e-01 9.87390595e-01 9.96617943e-01
 3.00000000e+00 9.91533894e-01 9.91232271e-01 9.86489174e-01 9.96578613e-01
 4.00000000e+00 9.91358877e-01 9.91055323e-01 9.86135191e-01 9.96582563e-01
 5.00000000e+00 9.91107297e-01 9.90806164e-01 9.85433055e-01 9.96781539e-01
 6.00000000e+00 9.90888538e-01 9.90589020e-01 9.84874884e-01 9.96902192e-01
 7.00000000e+00 9.86469328e-01 9.85946963e-01 9.78677185e-01 9.94261470e-01
 8.00000000e+00 9.82762661e-01 9.82092015e-01 9.72797592e-01 9.92727730e-01
 9.00000000e+00 9.82271549e-01 9.81596931e-01 9.71960607e-01 9.92582491e-01
 1.00000000e+01 9.81605869e-01 9.80929718e-01 9.70236282e-01 9.92975455e-01
 1.10000000e+01 9.81496746e-01 9.80826448e-01 9.70127160e-01 9.92866332e-01
 1.20000000e+01 9.82664436e-01 9.81991563e-01 9.72611783e-01 9.92717089e-01
 1.30000000e+01 9.77445427e-01 9.76555454e-01 9.64368448e-01 9.90522405e-01
 1.40000000e+01 9.81714993e-01 9.81041452e-01 9.70572345e-01 9.92857640e-01
 1.50000000e+01 9.76987684e-01 9.76090079e-01 9.63579276e-01 9.90396092e-01
 1.60000000e+01 9.76660742e-01 9.75753095e-01 9.63032132e-01 9.90289352e-01
 1.70000000e+01 9.76835109e-01 9.75932851e-01 9.63224135e-01 9.90446083e-01
 1.80000000e+01 9.72859654e-01 9.71852747e-01 9.56429497e-01 9.89289811e-01
 1.90000000e+01 9.72424222e-01 9.71401343e-01 9.55766082e-01 9.89082362e-01
 2.00000000e+01 9.72141205e-01 9.71107893e-01 9.55283562e-01 9.88998849e-01
 2.10000000e+01 9.72325223e-01 9.71302898e-01 9.55323224e-01 9.89327222e-01
 2.20000000e+01 9.71868089e-01 9.70855973e-01 9.54566232e-01 9.89169946e-01
 2.30000000e+01 9.71943588e-01 9.70907469e-01 9.54500739e-01 9.89386436e-01
 2.40000000e+01 9.71464737e-01 9.70410500e-01 9.53687709e-01 9.89241766e-01
 2.50000000e+01 9.71593830e-01 9.70545749e-01 9.53722520e-01 9.89465141e-01
 2.60000000e+01 9.71415799e-01 9.70359402e-01 9.53213744e-01 9.89617855e-01
