bus real appr
 1.00000000e+00 -4.58823070e-01 -4.65811461e-01
 2.00000000e+00 -7.93502785e-01 -8.05226931e-01
 3.00000000e+00 -1.01770706e+00 -1.03234869e+00
 4.00000000e+00 -1.34622368e+00 -1.36486618e+00
 5.00000000e+00 -1.64367333e+00 -1.66628991e+00
 6.00000000e+00 -1.79078047e+00 -1.81521981e+00
 7.00000000e+00 -1.88143311e+00 -1.90695296e+00
 8.00000000e+00 -1.88492089e+00 -1.91045714e+00
 9.00000000e+00 -1.88666499e+00 -1.91220943e+00
 1.00000000e+01 -2.13194589e+00 -2.16026215e+00
 1.10000000e+01 -2.66453306e+00 -2.69775562e+00
 1.20000000e+01 -2.65869184e+00 -2.69581643e+00
 1.30000000e+01 -2.65470799e+00 -2.69429809e+00
 1.40000000e+01 -2.64695008e+00 -2.69093828e+00
 1.50000000e+01 -2.63728327e+00 -2.68544072e+00
 1.60000000e+01 -2.63745017e+00 -2.68651439e+00
 1.70000000e+01 -2.87266196e+00 -2.90728129e+00
 1.80000000e+01 -2.98656320e+00 -3.02163394e+00
 1.90000000e+01 -3.06164901e+00 -3.09691130e+00
 2.00000000e+01 -3.13941875e+00 -3.17361352e+00
 2.10000000e+01 -3.15753968e+00 -3.19144239e+00
 2.20000000e+01 -3.16045973e+00 -3.19440780e+00
 2.30000000e+01 -3.23731545e+00 -3.26971050e+00
 2.40000000e+01 -3.31071963e+00 -3.34145949e+00
 2.50000000e+01 -3.34442503e+00 -3.37418153e+00
 2.60000000e+01 -3.37484987e+00 -3.40354598e+00
 2.70000000e+01 -3.14099494e+00 -3.17663943e+00
 2.80000000e+01 -3.18912117e+00 -3.22495416e+00
 2.90000000e+01 -3.20873685e+00 -3.24464365e+00
 3.00000000e+01 -3.21969707e+00 -3.25567542e+00
 3.10000000e+01 -3.22556616e+00 -3.26162853e+00
 3.20000000e+01 -3.22947977e+00 -3.26559808e+00
 3.30000000e+01 -2.90841922e+00 -2.94340671e+00
 3.40000000e+01 -2.91915781e+00 -2.95425480e+00
 3.50000000e+01 -2.93348411e+00 -2.96872646e+00
 3.60000000e+01 -2.93739291e+00 -2.97267477e+00
 3.70000000e+01 -2.93446126e+00 -2.96971348e+00
 3.80000000e+01 -2.95417613e+00 -2.98962687e+00
 3.90000000e+01 -2.96901472e+00 -3.00461379e+00
 4.00000000e+01 -1.62022657e+00 -1.64049761e+00
 4.10000000e+01 -1.64687203e+00 -1.66714996e+00
 4.20000000e+01 -1.66592439e+00 -1.68620607e+00
 4.30000000e+01 -1.68340362e+00 -1.70368788e+00
 4.40000000e+01 -1.69103530e+00 -1.71132042e+00
 4.50000000e+01 -1.69866963e+00 -1.71895547e+00
 4.60000000e+01 -1.70312422e+00 -1.72341040e+00
 4.70000000e+01 -1.70307355e+00 -1.72401276e+00
 4.80000000e+01 -1.74893964e+00 -1.77031782e+00
 4.90000000e+01 -1.79332771e+00 -1.81513994e+00
 5.00000000e+01 -1.82507237e+00 -1.84723255e+00
 5.10000000e+01 -1.86162390e+00 -1.88422000e+00
 5.20000000e+01 -1.87035232e+00 -1.89307873e+00
 5.30000000e+01 -1.87640745e+00 -1.89911103e+00
 5.40000000e+01 -1.88123442e+00 -1.90392805e+00
 5.50000000e+01 -1.88284364e+00 -1.90553395e+00
