bus real appr
 1.00000000e+00 9.89299869e-01 9.90078123e-01
 2.00000000e+00 9.81635677e-01 9.82992229e-01
 3.00000000e+00 9.76568475e-01 9.78309724e-01
 4.00000000e+00 9.69238891e-01 9.71548233e-01
 5.00000000e+00 9.63212258e-01 9.66057265e-01
 6.00000000e+00 9.60261835e-01 9.63371474e-01
 7.00000000e+00 9.58455281e-01 9.61728172e-01
 8.00000000e+00 9.58377446e-01 9.61655230e-01
 9.00000000e+00 9.58338528e-01 9.61618761e-01
 1.00000000e+01 9.53504384e-01 9.57228044e-01
 1.10000000e+01 9.43149309e-01 9.47823319e-01
 1.20000000e+01 9.41759949e-01 9.46516265e-01
 1.30000000e+01 9.40889562e-01 9.45697535e-01
 1.40000000e+01 9.39353306e-01 9.44252489e-01
 1.50000000e+01 9.37948271e-01 9.42929802e-01
 1.60000000e+01 9.37595545e-01 9.42599445e-01
 1.70000000e+01 9.70942656e-01 9.75650500e-01
 1.80000000e+01 9.69159996e-01 9.73808997e-01
 1.90000000e+01 9.68032291e-01 9.72644188e-01
 2.00000000e+01 9.67358426e-01 9.71951401e-01
 2.10000000e+01 9.67218039e-01 9.71807114e-01
 2.20000000e+01 9.67154936e-01 9.71742190e-01
 2.30000000e+01 9.66684534e-01 9.71258962e-01
 2.40000000e+01 9.66284444e-01 9.70847991e-01
 2.50000000e+01 9.66179163e-01 9.70739862e-01
 2.60000000e+01 9.66144069e-01 9.70703820e-01
 2.70000000e+01 9.66753055e-01 9.71331075e-01
 2.80000000e+01 9.65994307e-01 9.70552457e-01
 2.90000000e+01 9.65685197e-01 9.70235369e-01
 3.00000000e+01 9.65495520e-01 9.70040829e-01
 3.10000000e+01 9.65369070e-01 9.69911151e-01
 3.20000000e+01 9.65284769e-01 9.69824705e-01
 3.30000000e+01 9.70172570e-01 9.74855176e-01
 3.40000000e+01 9.69941758e-01 9.74616666e-01
 3.50000000e+01 9.69634000e-01 9.74298718e-01
 3.60000000e+01 9.69550070e-01 9.74212017e-01
 3.70000000e+01 9.69612599e-01 9.74277042e-01
 3.80000000e+01 9.69189112e-01 9.73839988e-01
 3.90000000e+01 9.68870632e-01 9.73511385e-01
 4.00000000e+01 9.62153510e-01 9.64893062e-01
 4.10000000e+01 9.61560270e-01 9.64334875e-01
 4.20000000e+01 9.61136568e-01 9.63936299e-01
 4.30000000e+01 9.60748208e-01 9.63571032e-01
 4.40000000e+01 9.60578735e-01 9.63411671e-01
 4.50000000e+01 9.60409260e-01 9.63252328e-01
 4.60000000e+01 9.60310399e-01 9.63159385e-01
 4.70000000e+01 9.59892195e-01 9.62771408e-01
 4.80000000e+01 9.58597585e-01 9.61557130e-01
 4.90000000e+01 9.57338954e-01 9.60376634e-01
 5.00000000e+01 9.56417435e-01 9.59512185e-01
 5.10000000e+01 9.55336824e-01 9.58498281e-01
 5.20000000e+01 9.55064658e-01 9.58242679e-01
 5.30000000e+01 9.54936804e-01 9.58123647e-01
 5.40000000e+01 9.54830271e-01 9.58024320e-01
 5.50000000e+01 9.54794761e-01 9.57991213e-01
